session_id,participant_id,condition,condition_label,window,phase,R_b,AI_accuracy,P,P_initial,cal_gap,appropriate_reliance,perf_gain,selfconf,aiconf,switch_to_ai,switch_from_ai,n_followed,n_ai_accurate,n_correct
P10_C1,10,1,High_to_Low,1,pre_switch,0.8,0.8,0.8,0.4,0.0,1.0,0.4,0.05,0.95,0.6,0.0,4,4,4
P10_C1,10,1,High_to_Low,2,pre_switch,0.8,0.6,0.4,0.2,0.2,0.4,0.2,0.3,0.9,0.6,0.0,4,3,2
P10_C1,10,1,High_to_Low,3,pre_switch,0.4,0.8,0.8,0.6,-0.4,0.6,0.2,0.45,0.75,0.4,0.0,2,4,4
P10_C1,10,1,High_to_Low,4,pre_switch,0.6,1.0,0.6,0.6,-0.4,0.6,0.0,0.5,0.95,0.0,0.0,3,5,3
P10_C1,10,1,High_to_Low,5,post_switch,0.4,0.2,0.4,0.2,0.2,0.8,0.2,0.4,0.85,0.4,0.0,2,1,2
P10_C1,10,1,High_to_Low,6,post_switch,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.35,0.8,0.2,0.0,1,1,0
P10_C2,10,2,Low_to_High,1,pre_switch,0.0,0.2,0.6,0.6,-0.2,0.8,0.0,0.55,0.7,0.0,0.0,0,1,3
P10_C2,10,2,Low_to_High,2,pre_switch,0.6,0.4,0.4,0.2,0.2,0.4,0.2,0.45,0.5,0.4,0.0,3,2,2
P10_C2,10,2,Low_to_High,3,pre_switch,0.8,0.2,0.2,0.2,0.6,0.4,0.0,0.45,0.35,0.8,0.0,4,1,1
P10_C2,10,2,Low_to_High,4,pre_switch,0.2,0.0,0.6,0.8,0.2,0.8,-0.2,0.45,0.45,0.2,0.0,1,0,3
P10_C2,10,2,Low_to_High,5,post_switch,0.6,0.8,0.6,0.4,-0.2,0.4,0.2,0.45,0.45,0.4,0.0,3,4,3
P10_C2,10,2,Low_to_High,6,post_switch,0.2,0.8,0.4,0.4,-0.6,0.4,0.0,0.5,0.5,0.2,0.0,1,4,2
P11_C1,11,1,High_to_Low,1,pre_switch,0.8,0.8,0.8,0.2,0.0,1.0,0.6,0.75,0.75,0.6,0.0,4,4,4
P11_C1,11,1,High_to_Low,2,pre_switch,0.6,0.6,0.4,0.2,0.0,0.6,0.2,0.7,0.65,0.4,0.0,3,3,2
P11_C1,11,1,High_to_Low,3,pre_switch,1.0,0.8,0.8,0.4,0.2,0.8,0.4,0.45,0.7,1.0,0.0,5,4,4
P11_C1,11,1,High_to_Low,4,pre_switch,1.0,1.0,1.0,0.4,0.0,1.0,0.6,0.75,0.75,0.6,0.0,5,5,5
P11_C1,11,1,High_to_Low,5,post_switch,0.6,0.2,0.2,0.4,0.4,0.2,-0.2,0.7,0.5,0.6,0.0,3,1,1
P11_C1,11,1,High_to_Low,6,post_switch,0.4,0.2,0.2,0.6,0.2,0.4,-0.4,0.6,0.55,0.4,0.0,2,1,1
P11_C2,11,2,Low_to_High,1,pre_switch,0.0,0.2,0.4,0.4,-0.2,0.8,0.0,0.6,0.4,0.0,0.0,0,1,2
P11_C2,11,2,Low_to_High,2,pre_switch,0.2,0.4,0.4,0.2,-0.2,0.8,0.2,0.65,0.5,0.2,0.0,1,2,2
P11_C2,11,2,Low_to_High,3,pre_switch,0.4,0.2,0.2,0.2,0.2,0.8,0.0,0.35,0.45,0.2,0.0,2,1,1
P11_C2,11,2,Low_to_High,4,pre_switch,0.4,0.0,0.6,0.6,0.4,0.6,0.0,0.5,0.25,0.4,0.0,2,0,3
P11_C2,11,2,Low_to_High,5,post_switch,0.2,0.8,0.4,0.2,-0.6,0.4,0.2,0.45,0.5,0.2,0.0,1,4,2
P11_C2,11,2,Low_to_High,6,post_switch,0.6,0.8,0.6,0.4,-0.2,0.4,0.2,0.55,0.4,0.4,0.0,3,4,3
P12_C1,12,1,High_to_Low,1,pre_switch,0.8,0.8,0.8,0.4,0.0,1.0,0.4,0.8,0.95,0.4,0.0,4,4,4
P12_C1,12,1,High_to_Low,2,pre_switch,0.8,0.6,0.6,0.2,0.2,0.8,0.4,0.85,0.95,0.6,0.0,4,3,3
P12_C1,12,1,High_to_Low,3,pre_switch,0.4,0.8,0.4,0.2,-0.4,0.6,0.2,0.75,1.0,0.4,0.0,2,4,2
P12_C1,12,1,High_to_Low,4,pre_switch,0.6,1.0,0.6,0.2,-0.4,0.6,0.4,0.7,1.0,0.4,0.0,3,5,3
P12_C1,12,1,High_to_Low,5,post_switch,0.6,0.2,0.0,0.2,0.4,0.2,-0.2,0.85,0.9,0.6,0.0,3,1,0
P12_C1,12,1,High_to_Low,6,post_switch,0.2,0.2,0.4,0.4,0.0,0.6,0.0,0.65,0.85,0.0,0.0,1,1,2
P12_C2,12,2,Low_to_High,1,pre_switch,0.2,0.2,0.4,0.6,0.0,0.6,-0.2,0.45,0.7,0.2,0.0,1,1,2
P12_C2,12,2,Low_to_High,2,pre_switch,0.2,0.4,0.2,0.2,-0.2,0.4,0.0,0.55,0.55,0.2,0.0,1,2,1
P12_C2,12,2,Low_to_High,3,pre_switch,0.2,0.2,0.4,0.2,0.0,1.0,0.2,0.25,0.8,0.2,0.0,1,1,2
P12_C2,12,2,Low_to_High,4,pre_switch,0.2,0.0,0.4,0.4,0.2,0.8,0.0,0.6,0.75,0.2,0.0,1,0,2
P12_C2,12,2,Low_to_High,5,post_switch,0.4,0.8,0.4,0.2,-0.4,0.6,0.2,0.35,0.85,0.4,0.0,2,4,2
P12_C2,12,2,Low_to_High,6,post_switch,0.6,0.8,0.4,0.2,-0.2,0.4,0.2,0.6,0.9,0.6,0.0,3,4,2
P13_C1,13,1,High_to_Low,1,pre_switch,0.4,0.8,0.6,0.6,-0.4,0.6,0.0,0.65,0.7,0.0,0.0,2,4,3
P13_C1,13,1,High_to_Low,2,pre_switch,0.4,0.6,0.4,0.4,-0.2,0.8,0.0,0.55,0.75,0.2,0.0,2,3,2
P13_C1,13,1,High_to_Low,3,pre_switch,0.2,0.8,0.4,0.2,-0.6,0.4,0.2,0.35,0.6,0.2,0.0,1,4,2
P13_C1,13,1,High_to_Low,4,pre_switch,0.6,1.0,0.6,0.6,-0.4,0.6,0.0,0.4,0.5,0.0,0.0,3,5,3
P13_C1,13,1,High_to_Low,5,post_switch,0.2,0.2,0.2,0.2,0.0,0.6,0.0,0.35,0.55,0.2,0.0,1,1,1
P13_C1,13,1,High_to_Low,6,post_switch,0.2,0.2,0.8,0.6,0.0,1.0,0.2,0.45,0.65,0.2,0.0,1,1,4
P13_C2,13,2,Low_to_High,1,pre_switch,0.4,0.2,0.6,0.2,0.2,0.8,0.4,0.65,0.75,0.4,0.0,2,1,3
P13_C2,13,2,Low_to_High,2,pre_switch,0.2,0.4,0.6,0.4,-0.2,0.8,0.2,0.65,0.75,0.2,0.0,1,2,3
P13_C2,13,2,Low_to_High,3,pre_switch,0.4,0.2,0.2,0.2,0.2,0.8,0.0,0.45,0.75,0.2,0.0,2,1,1
P13_C2,13,2,Low_to_High,4,pre_switch,0.2,0.0,0.4,0.4,0.2,0.8,0.0,0.45,0.75,0.2,0.0,1,0,2
P13_C2,13,2,Low_to_High,5,post_switch,0.2,0.8,0.2,0.0,-0.6,0.4,0.2,0.3,0.75,0.2,0.0,1,4,1
P13_C2,13,2,Low_to_High,6,post_switch,0.4,0.8,0.4,0.2,-0.4,0.2,0.2,0.55,0.75,0.4,0.0,2,4,2
P14_C1,14,1,High_to_Low,1,pre_switch,0.2,0.8,0.2,0.0,-0.6,0.4,0.2,0.75,0.95,0.2,0.0,1,4,1
P14_C1,14,1,High_to_Low,2,pre_switch,0.2,0.6,0.4,0.4,-0.4,0.6,0.0,0.8,1.0,0.0,0.0,1,3,2
P14_C1,14,1,High_to_Low,3,pre_switch,0.0,0.8,0.0,0.0,-0.8,0.2,0.0,0.75,1.0,0.0,0.0,0,4,0
P14_C1,14,1,High_to_Low,4,pre_switch,0.2,1.0,0.2,0.4,-0.8,0.2,-0.2,0.75,1.0,0.0,0.2,1,5,1
P14_C1,14,1,High_to_Low,5,post_switch,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.75,1.0,0.0,0.0,1,1,0
P14_C1,14,1,High_to_Low,6,post_switch,0.0,0.2,0.0,0.0,-0.2,0.8,0.0,0.75,0.9,0.0,0.0,0,1,0
P14_C2,14,2,Low_to_High,1,pre_switch,0.2,0.2,0.4,0.6,0.0,0.6,-0.2,0.5,0.3,0.2,0.0,1,1,2
P14_C2,14,2,Low_to_High,2,pre_switch,0.2,0.4,0.6,0.4,-0.2,0.8,0.2,0.45,0.35,0.2,0.0,1,2,3
P14_C2,14,2,Low_to_High,3,pre_switch,0.2,0.2,0.2,0.2,0.0,0.6,0.0,0.3,0.45,0.0,0.0,1,1,1
P14_C2,14,2,Low_to_High,4,pre_switch,0.2,0.0,0.4,0.4,0.2,0.8,0.0,0.35,0.4,0.2,0.0,1,0,2
P14_C2,14,2,Low_to_High,5,post_switch,0.4,0.8,0.8,0.8,-0.4,0.6,0.0,0.65,0.6,0.2,0.0,2,4,4
P14_C2,14,2,Low_to_High,6,post_switch,0.4,0.8,0.4,0.2,-0.4,0.6,0.2,0.5,0.5,0.4,0.0,2,4,2
P15_C1,15,1,High_to_Low,1,pre_switch,0.4,0.8,0.6,0.4,-0.4,0.6,0.2,0.5,0.5,0.2,0.0,2,4,3
P15_C1,15,1,High_to_Low,2,pre_switch,0.6,0.6,0.4,0.4,0.0,0.6,0.0,0.25,0.2,0.4,0.0,3,3,2
P15_C1,15,1,High_to_Low,3,pre_switch,0.6,0.8,0.4,0.4,-0.2,0.4,0.0,0.2,0.3,0.6,0.0,3,4,2
P15_C1,15,1,High_to_Low,4,pre_switch,0.8,1.0,1.0,0.6,-0.2,0.8,0.4,0.95,0.6,0.2,0.0,4,5,5
P15_C1,15,1,High_to_Low,5,post_switch,0.6,0.2,0.0,0.0,0.4,0.2,0.0,0.1,0.1,0.4,0.0,3,1,0
P15_C1,15,1,High_to_Low,6,post_switch,0.4,0.2,0.2,0.0,0.2,0.8,0.2,0.0,0.15,0.4,0.0,2,1,1
P15_C2,15,2,Low_to_High,1,pre_switch,0.4,0.2,0.6,0.4,0.2,0.8,0.2,0.6,0.85,0.4,0.0,2,1,3
P15_C2,15,2,Low_to_High,2,pre_switch,0.2,0.4,0.4,0.2,-0.2,0.8,0.2,0.75,0.65,0.2,0.0,1,2,2
P15_C2,15,2,Low_to_High,3,pre_switch,0.8,0.2,0.0,0.0,0.6,0.0,0.0,0.7,0.55,0.8,0.0,4,1,0
P15_C2,15,2,Low_to_High,4,pre_switch,0.2,0.0,0.2,0.2,0.2,0.8,0.0,0.7,0.35,0.2,0.0,1,0,1
P15_C2,15,2,Low_to_High,5,post_switch,0.4,0.8,0.4,0.0,-0.4,0.6,0.4,0.75,0.45,0.4,0.0,2,4,2
P15_C2,15,2,Low_to_High,6,post_switch,0.6,0.8,0.6,0.2,-0.2,0.4,0.4,0.9,0.7,0.4,0.0,3,4,3
P16_C1,16,1,High_to_Low,1,pre_switch,0.8,0.8,0.6,0.4,0.0,0.6,0.2,0.6,0.7,0.4,0.0,4,4,3
P16_C1,16,1,High_to_Low,2,pre_switch,0.4,0.6,0.2,0.2,-0.2,0.4,0.0,0.45,0.5,0.2,0.0,2,3,1
P16_C1,16,1,High_to_Low,3,pre_switch,0.2,0.8,0.2,0.2,-0.6,0.0,0.0,0.25,0.25,0.2,0.0,1,4,1
P16_C1,16,1,High_to_Low,4,pre_switch,0.8,1.0,1.0,0.6,-0.2,0.8,0.4,0.3,0.35,0.4,0.0,4,5,5
P16_C1,16,1,High_to_Low,5,post_switch,0.6,0.2,0.4,0.4,0.4,0.6,0.0,0.3,0.3,0.2,0.0,3,1,2
P16_C1,16,1,High_to_Low,6,post_switch,0.4,0.2,0.0,0.0,0.2,0.4,0.0,0.25,0.25,0.4,0.0,2,1,0
P16_C2,16,2,Low_to_High,1,pre_switch,0.6,0.2,0.0,0.2,0.4,0.2,-0.2,0.45,0.45,0.6,0.0,3,1,0
P16_C2,16,2,Low_to_High,2,pre_switch,0.6,0.4,0.4,0.2,0.2,0.4,0.2,0.65,0.3,0.4,0.0,3,2,2
P16_C2,16,2,Low_to_High,3,pre_switch,0.6,0.2,0.2,0.2,0.4,0.6,0.0,0.65,0.3,0.4,0.0,3,1,1
P16_C2,16,2,Low_to_High,4,pre_switch,0.4,0.0,0.4,0.4,0.4,0.6,0.0,0.65,0.15,0.4,0.0,2,0,2
P16_C2,16,2,Low_to_High,5,post_switch,0.6,0.8,0.4,0.2,-0.2,0.4,0.2,0.55,0.4,0.6,0.0,3,4,2
P16_C2,16,2,Low_to_High,6,post_switch,0.4,0.8,0.8,0.4,-0.4,0.6,0.4,0.6,0.45,0.4,0.0,2,4,4
P17_C1,17,1,High_to_Low,1,pre_switch,0.4,0.8,0.4,0.4,-0.4,0.6,0.0,0.0,0.5,0.2,0.0,2,4,2
P17_C1,17,1,High_to_Low,2,pre_switch,0.6,0.6,0.6,0.4,0.0,0.6,0.2,0.0,0.5,0.4,0.0,3,3,3
P17_C1,17,1,High_to_Low,3,pre_switch,0.4,0.8,0.4,0.2,-0.4,0.6,0.2,0.0,0.5,0.4,0.0,2,4,2
P17_C1,17,1,High_to_Low,4,pre_switch,0.8,1.0,1.0,0.6,-0.2,0.8,0.4,0.0,0.5,0.4,0.0,4,5,5
P17_C1,17,1,High_to_Low,5,post_switch,0.6,0.2,0.2,0.4,0.4,0.2,-0.2,0.0,0.5,0.4,0.0,3,1,1
P17_C1,17,1,High_to_Low,6,post_switch,0.4,0.2,0.6,0.4,0.2,0.8,0.2,0.0,0.5,0.4,0.0,2,1,3
P17_C2,17,2,Low_to_High,1,pre_switch,0.6,0.2,0.0,0.4,0.4,0.2,-0.4,0.4,0.35,0.6,0.0,3,1,0
P17_C2,17,2,Low_to_High,2,pre_switch,0.4,0.4,0.2,0.0,0.0,0.6,0.2,0.45,0.3,0.4,0.0,2,2,1
P17_C2,17,2,Low_to_High,3,pre_switch,0.8,0.2,0.2,0.2,0.6,0.4,0.0,0.3,0.35,0.6,0.0,4,1,1
P17_C2,17,2,Low_to_High,4,pre_switch,0.4,0.0,0.2,0.4,0.4,0.6,-0.2,0.55,0.45,0.4,0.0,2,0,1
P17_C2,17,2,Low_to_High,5,post_switch,0.6,0.8,0.4,0.2,-0.2,0.4,0.2,0.5,0.5,0.4,0.0,3,4,2
P17_C2,17,2,Low_to_High,6,post_switch,0.0,0.8,0.0,0.0,-0.8,0.2,0.0,0.5,0.5,0.0,0.0,0,4,0
P18_C1,18,1,High_to_Low,1,pre_switch,0.6,0.8,0.6,0.0,-0.2,0.8,0.6,0.45,0.75,0.6,0.0,3,4,3
P18_C1,18,1,High_to_Low,2,pre_switch,0.6,0.6,0.4,0.4,0.0,0.6,0.0,0.45,0.8,0.4,0.0,3,3,2
P18_C1,18,1,High_to_Low,3,pre_switch,0.8,0.8,1.0,0.4,0.0,1.0,0.6,0.5,0.8,0.8,0.0,4,4,5
P18_C1,18,1,High_to_Low,4,pre_switch,0.6,1.0,0.6,0.4,-0.4,0.6,0.2,0.45,0.8,0.4,0.0,3,5,3
P18_C1,18,1,High_to_Low,5,post_switch,0.6,0.2,0.2,0.2,0.4,0.2,0.0,0.25,0.2,0.4,0.0,3,1,1
P18_C1,18,1,High_to_Low,6,post_switch,0.0,0.2,0.2,0.2,-0.2,0.8,0.0,0.15,0.3,0.0,0.0,0,1,1
P18_C2,18,2,Low_to_High,1,pre_switch,0.0,0.2,0.4,0.4,-0.2,0.8,0.0,0.55,0.4,0.0,0.0,0,1,2
P18_C2,18,2,Low_to_High,2,pre_switch,0.6,0.4,0.4,0.2,0.2,0.4,0.2,0.5,0.4,0.6,0.0,3,2,2
P18_C2,18,2,Low_to_High,3,pre_switch,0.2,0.2,0.0,0.2,0.0,0.6,-0.2,0.35,0.55,0.2,0.0,1,1,0
P18_C2,18,2,Low_to_High,4,pre_switch,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.2,0.25,0.0,0.0,0,0,3
P18_C2,18,2,Low_to_High,5,post_switch,0.6,0.8,0.6,0.0,-0.2,0.8,0.6,0.0,0.2,0.6,0.0,3,4,3
P18_C2,18,2,Low_to_High,6,post_switch,0.4,0.8,0.8,0.4,-0.4,0.6,0.4,0.0,0.25,0.4,0.0,2,4,4
P19_C1,19,1,High_to_Low,1,pre_switch,0.6,0.8,0.8,0.6,-0.2,0.8,0.2,0.5,0.7,0.4,0.0,3,4,4
P19_C1,19,1,High_to_Low,2,pre_switch,1.0,0.6,0.6,0.0,0.4,0.6,0.6,0.5,0.65,1.0,0.0,5,3,3
P19_C1,19,1,High_to_Low,3,pre_switch,0.8,0.8,0.8,0.2,0.0,1.0,0.6,0.4,0.65,0.8,0.0,4,4,4
P19_C1,19,1,High_to_Low,4,pre_switch,0.8,1.0,0.8,0.4,-0.2,0.8,0.4,0.5,0.7,0.4,0.0,4,5,4
P19_C1,19,1,High_to_Low,5,post_switch,0.6,0.2,0.4,0.4,0.4,0.2,0.0,0.6,0.5,0.4,0.0,3,1,2
P19_C1,19,1,High_to_Low,6,post_switch,0.6,0.2,0.2,0.0,0.4,0.6,0.2,0.45,0.25,0.4,0.0,3,1,1
P19_C2,19,2,Low_to_High,1,pre_switch,0.4,0.2,0.2,0.4,0.2,0.4,-0.2,0.45,0.55,0.4,0.0,2,1,1
P19_C2,19,2,Low_to_High,2,pre_switch,0.6,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.35,0.4,0.0,3,2,2
P19_C2,19,2,Low_to_High,3,pre_switch,0.0,0.2,0.4,0.4,-0.2,0.8,0.0,0.4,0.5,0.0,0.0,0,1,2
P19_C2,19,2,Low_to_High,4,pre_switch,0.2,0.0,0.2,0.2,0.2,0.8,0.0,0.3,0.35,0.2,0.0,1,0,1
P19_C2,19,2,Low_to_High,5,post_switch,0.4,0.8,1.0,0.6,-0.4,0.6,0.4,0.25,0.4,0.4,0.0,2,4,5
P19_C2,19,2,Low_to_High,6,post_switch,0.8,0.8,0.8,0.6,0.0,0.6,0.2,0.45,0.45,0.6,0.0,4,4,4
P01_C1,1,1,High_to_Low,1,pre_switch,0.4,0.8,0.4,0.4,-0.4,0.6,0.0,0.5,0.5,0.0,0.0,2,4,2
P01_C1,1,1,High_to_Low,2,pre_switch,0.8,0.6,0.4,0.2,0.2,0.4,0.2,0.5,0.5,0.6,0.0,4,3,2
P01_C1,1,1,High_to_Low,3,pre_switch,0.6,0.8,0.6,0.0,-0.2,0.8,0.6,0.5,0.5,0.6,0.0,3,4,3
P01_C1,1,1,High_to_Low,4,pre_switch,0.8,1.0,0.8,0.0,-0.2,0.8,0.8,0.5,0.5,0.8,0.0,4,5,4
P01_C1,1,1,High_to_Low,5,post_switch,0.2,0.2,0.6,0.4,0.0,0.6,0.2,0.5,0.5,0.2,0.0,1,1,3
P01_C1,1,1,High_to_Low,6,post_switch,0.6,0.2,0.4,0.0,0.4,0.6,0.4,0.5,0.5,0.6,0.0,3,1,2
P01_C2,1,2,Low_to_High,1,pre_switch,0.4,0.2,0.0,0.0,0.2,0.4,0.0,0.5,0.4,0.4,0.0,2,1,0
P01_C2,1,2,Low_to_High,2,pre_switch,0.2,0.4,0.4,0.2,-0.2,0.8,0.2,0.35,0.4,0.2,0.0,1,2,2
P01_C2,1,2,Low_to_High,3,pre_switch,0.6,0.2,0.2,0.2,0.4,0.6,0.0,0.5,0.4,0.6,0.0,3,1,1
P01_C2,1,2,Low_to_High,4,pre_switch,0.8,0.0,0.2,0.2,0.8,0.2,0.0,0.35,0.35,0.6,0.0,4,0,1
P01_C2,1,2,Low_to_High,5,post_switch,0.6,0.8,0.4,0.0,-0.2,0.4,0.4,0.45,0.45,0.6,0.0,3,4,2
P01_C2,1,2,Low_to_High,6,post_switch,0.8,0.8,0.6,0.2,0.0,0.6,0.4,0.45,0.5,0.6,0.0,4,4,3
P20_C1,20,1,High_to_Low,1,pre_switch,0.8,0.8,0.8,0.0,0.0,1.0,0.8,0.5,0.8,0.8,0.0,4,4,4
P20_C1,20,1,High_to_Low,2,pre_switch,0.8,0.6,0.4,0.0,0.2,0.4,0.4,0.5,0.9,0.8,0.0,4,3,2
P20_C1,20,1,High_to_Low,3,pre_switch,0.4,0.8,0.6,0.6,-0.4,0.6,0.0,0.5,0.75,0.2,0.0,2,4,3
P20_C1,20,1,High_to_Low,4,pre_switch,0.8,1.0,0.8,0.6,-0.2,0.8,0.2,0.5,0.8,0.2,0.0,4,5,4
P20_C1,20,1,High_to_Low,5,post_switch,0.4,0.2,0.2,0.4,0.2,0.4,-0.2,0.45,0.75,0.4,0.0,2,1,1
P20_C1,20,1,High_to_Low,6,post_switch,0.6,0.2,0.6,0.2,0.4,0.6,0.4,0.5,0.75,0.4,0.0,3,1,3
P20_C2,20,2,Low_to_High,1,pre_switch,0.2,0.2,0.4,0.4,0.0,0.6,0.0,0.75,0.3,0.2,0.0,1,1,2
P20_C2,20,2,Low_to_High,2,pre_switch,0.6,0.4,0.6,0.6,0.2,0.8,0.0,0.75,0.15,0.2,0.0,3,2,3
P20_C2,20,2,Low_to_High,3,pre_switch,0.2,0.2,0.4,0.4,0.0,0.6,0.0,0.75,0.0,0.2,0.0,1,1,2
P20_C2,20,2,Low_to_High,4,pre_switch,0.0,0.0,0.8,0.8,0.0,1.0,0.0,0.75,0.1,0.0,0.0,0,0,4
P20_C2,20,2,Low_to_High,5,post_switch,0.4,0.8,0.6,0.6,-0.4,0.6,0.0,0.75,0.1,0.2,0.0,2,4,3
P20_C2,20,2,Low_to_High,6,post_switch,0.8,0.8,0.6,0.2,0.0,0.6,0.4,0.75,0.15,0.6,0.0,4,4,3
P21_C1,21,1,High_to_Low,1,pre_switch,0.2,0.8,0.2,0.2,-0.6,0.4,0.0,0.4,0.8,0.0,0.0,1,4,1
P21_C1,21,1,High_to_Low,2,pre_switch,0.2,0.6,0.2,0.2,-0.4,0.6,0.0,0.5,0.7,0.0,0.0,1,3,1
P21_C1,21,1,High_to_Low,3,pre_switch,1.0,0.8,0.8,0.0,0.2,0.8,0.8,0.5,0.75,1.0,0.0,5,4,4
P21_C1,21,1,High_to_Low,4,pre_switch,1.0,1.0,1.0,0.2,0.0,1.0,0.8,0.5,0.8,1.0,0.0,5,5,5
